name,price,rating,reviews,sold,category,value_score,price_tier,is_overpriced,category_encoded,tier_encoded,pca_1,pca_2
Moto Stylus 2024 5G - 6.7 Inches Full FHD+ Display - 8GB RAM 128GB ROM - PTA Approved Dual Sim (Physical + E-sim) - Snapdragon 6 Gen 1 - In-Screen Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),64999.0,4.4,0,0,mobiles,0.6769334912844813,Mid-Range,0,2,1,0.8315680849471638,-0.02827737711952412
"Y17 DUAL SIM, 5000 MH BATTERY",16500.0,4.4,0,0,mobiles,2.666666666666667,Budget,0,2,0,0.42515391127448565,0.040241830866438864
Vivo Y19 | 4GB RAM | 128GB Storage | Dual Sim | PTA Approve | 5000 MAH Big Battery | Dual Speaker | FingerPrint + Face Unlock | Vivo Mobile On Installment,21701.0,4.4,0,0,mobiles,2.027556333809502,Budget,0,2,0,0.46873749273537346,0.03289387728523113
ZTE NUBIA V80 PRO = 8GB RAM = 256GB ROM = 5000mAh BATTERY,49999.0,4.4,0,0,mobiles,0.880017600352007,Mid-Range,0,2,1,0.7058703879824807,-0.007085432547688732
16pro box pack one year warranty,4500.0,4.4,0,0,mobiles,9.77777777777778,Budget,0,2,0,0.324595753702739,0.057195386523907175
"✅ Vivo Y83

&gt; Vivo Y83 (4GB+64GB) | Full Original | PTA Approved | With handfree & Charger without box| Hafiz Electronics",12999.0,4.0,8,19,mobiles,3.077159781521656,Budget,0,2,0,-0.2062235203504382,-0.012442807393557955
"Oppo A57 - 5.2"" HD Display - 3GB RAM - 32GB ROM - Upgraded Android 14 - Dual Sim - Official PTA Approved - Phone Only (Charger, Box and Accessories Not Included)",10999.0,4.0,254,728,mobiles,3.636694244931357,Budget,0,2,0,-2.7030734039632605,0.3525751681031885
Etachi Icon just look like Iphone design Icon Mini Touch Mobile 2gb 16gb 3.75-inch touch screen Dual sim Pta approve,14999.0,4.4,0,0,mobiles,2.9335289019267954,Budget,0,2,0,0.41257576173155297,0.04236243811992719
BALMUDA A101BM  5G Cellphone | 128GB Storage | 6GB RAM | Qualcomm Snapdragon 765 | Single SIM | Official PTA Approved,32428.0,5.0,2,5,mobiles,1.5418773899099545,Mid-Range,0,2,1,1.3420361563751453,0.11934285476445211
Samsung Galaxy A07 128GB - 6GB RAM 6.7 Inches Display  5000 mAh Battery  50 MP + 2 MP Back Camera,40999.0,4.4,0,0,mobiles,1.07319690724164,Mid-Range,0,2,1,0.6304517698036707,0.005629734195412501
